id,age,gender,avg.lettergrade,gamer(yes or no),time.played,single.or.multi,weekday.or.weekend,before.or.after.HW,casual.or.competitive,most.played.game,fav.subject,platform,postal.code
DT545,17,M,B+,yes,1 to 5,multiplayer,weekend,after,competitive,pubg/little big planet,marketing,mobile,V5P
DT546,17,F,A-,no,NA,NA,NA,NA,NA,NA,biology,NA,V6X
DT547,17,F,A-,yes,6 to 10,multiplayer,weekend,after,casual,valorant,math,pc,V5P
DT548,17,F,C+,yes,1 to 5,multiplayer,weekend,after,competitive,valorant,philosophy,pc,V5P1W6
DT549,17,F,B+,yes,16+,multiplayer,weekdays,before,casual,valorant,math,pc,V5R
DT550,17,M,B-,yes,6 to 10,single,weekend,before,competitive,splatoon 2,history,pc,V5X
DT551,17,M,A,no,1 to 5,single,weekend,after,casual,among us,Social Studies,NA,V5X
DT552,17,M,A-,no,NA,NA,NA,NA,NA,NA,physics,NA,V5S
DT553,17,M,A+,yes,10 to 15,single,weekdays,before,competitive,Re:Zero,math,mobile,V5P
DT554,17,M,C+,yes,1 to 5,single,weekdays,before,casual,genshin impact,drama,pc,NA
